17:06:16 | INFO     | Conectando a Binance...
17:06:17 | INFO     | Conexion Binance establecida.
17:06:17 | INFO     | Bot iniciado - Par: BTCUSDT | DRY_RUN: True
17:06:17 | INFO     | Motor de senales: Google Gemini (consulta cada 60s)
17:06:17 | INFO     | Confianza minima para operar: 65%
17:06:18 | INFO     | WebSocket activo para BTCUSDT
17:06:50 | WARNING  | Gemini HTTP 403
17:07:50 | WARNING  | Gemini HTTP 403
17:08:51 | WARNING  | Gemini HTTP 403
17:09:51 | WARNING  | Gemini HTTP 403
17:10:52 | WARNING  | Gemini HTTP 403
17:11:52 | WARNING  | Gemini HTTP 403
17:12:17 | INFO     | Conectando a Binance...
17:12:18 | INFO     | Conexion Binance establecida.
17:12:18 | INFO     | Conectando a Binance...
17:12:19 | INFO     | Conexion Binance establecida.
17:12:30 | INFO     | Conectando a Binance...
17:12:30 | INFO     | Conexion Binance establecida.
17:12:31 | INFO     | Conectando a Binance...
17:12:32 | INFO     | Conexion Binance establecida.
17:12:42 | INFO     | Conectando a Binance...
17:12:43 | INFO     | Conexion Binance establecida.
17:12:43 | INFO     | Conectando a Binance...
17:12:44 | INFO     | Conexion Binance establecida.
17:12:53 | WARNING  | Gemini HTTP 403
17:12:54 | INFO     | Conectando a Binance...
17:12:55 | INFO     | Conexion Binance establecida.
17:12:55 | INFO     | Conectando a Binance...
17:12:56 | INFO     | Conexion Binance establecida.
17:13:06 | INFO     | Conectando a Binance...
17:13:07 | INFO     | Conexion Binance establecida.
17:13:08 | INFO     | Conectando a Binance...
17:13:08 | INFO     | Conexion Binance establecida.
17:13:19 | INFO     | Conectando a Binance...
17:13:19 | INFO     | Conexion Binance establecida.
17:13:20 | INFO     | Conectando a Binance...
17:13:20 | INFO     | Conexion Binance establecida.
17:13:31 | INFO     | Conectando a Binance...
17:13:31 | INFO     | Conexion Binance establecida.
17:13:32 | INFO     | Conectando a Binance...
17:13:32 | INFO     | Conexion Binance establecida.
17:13:43 | INFO     | Conectando a Binance...
17:13:44 | INFO     | Conexion Binance establecida.
17:13:44 | INFO     | Conectando a Binance...
17:13:45 | INFO     | Conexion Binance establecida.
17:13:53 | WARNING  | Gemini HTTP 403
17:13:55 | INFO     | Conectando a Binance...
17:13:56 | INFO     | Conexion Binance establecida.
17:13:56 | INFO     | Conectando a Binance...
17:13:56 | INFO     | Conexion Binance establecida.
17:14:07 | INFO     | Conectando a Binance...
17:14:08 | INFO     | Conexion Binance establecida.
17:14:08 | INFO     | Conectando a Binance...
